Method,Novelty,Novelty_SE,Diversity,Diversity_SE,Energy,Energy_SE,SeqID,SeqID_SE,ValidAA,KL_AA
Bootstrap (replay),-9.62193288008469e-18,3.19330524715648e-17,0.9997625853999801,0.012062458901845704,-0.5000171887090565,8.682806548275113e-6,0.6449765258215963,0.0044065271622293276,1.0,0.1332824959273579
Gaussian perturbation,0.007603179779531839,0.00011104509885565338,1.0017228833079979,0.006723820124711078,-0.49220610669105513,0.00012723649693314928,0.6331455399061033,0.005850897865055569,1.0,0.13243809978046636
Random convex combination,0.5104559020989052,0.008923440672137134,0.9941839926702384,0.009005284273636721,-0.06796442175347436,0.0009632328629906124,0.5622535211267605,0.0002896716107669744,1.0,2.0911838289064923
GMM-PCA,0.6063812617554302,0.00938523942907974,1.0003700628968528,0.007308147252578397,0.07682520148774691,0.009329026617263593,0.539718309859155,0.003015804296183718,1.0,0.7309814960233378
VAE (latent=8),0.6209139155729113,0.007265076735845798,0.8335468511367532,0.022360486227152105,0.11841731295605167,0.007108588582269858,0.5320187793427228,0.0027604290185898614,1.0,0.4160923834214675
MALA (β=77),0.24852784434706734,0.0035085128356634834,0.991966025532698,0.006938646424448465,-0.11478167454824062,0.0046971827621269295,0.6088262910798122,0.012497060346698492,1.0,0.11231990788574317
"SA (β=77, ret)",0.24315939272648965,0.004332620867309255,0.9908718827029103,0.00719206304814338,-0.11979794044744473,0.006336635325834553,0.6161502347417839,0.01230006166007278,1.0,0.10676928935664326
"SA (β=8, gen)",0.6225292513909492,0.006436650606020897,1.0014679958787414,0.006195852515588245,3.082151152966414,0.0582111944550569,0.5380281690140845,0.005591552761951225,1.0,0.05969708850608402
